query_id,method,judged_at_5,unjudged_at_5,judged_rate_at_5,judged_at_10,unjudged_at_10,judged_rate_at_10,unjudged_doc_ids_at_10
web_10y_2y_spread,web_search_calibrated_v19,5,0,1.0,6,0,1.0,
web_apple_10q,web_search_calibrated_v19,5,0,1.0,10,0,1.0,
web_apple_filings,web_search_calibrated_v19,5,0,1.0,10,0,1.0,
web_apple_guidance,web_search_calibrated_v19,5,0,1.0,10,0,1.0,
web_apple_risk,web_search_calibrated_v19,5,0,1.0,10,0,1.0,
web_banks_credit_cycle,web_search_calibrated_v19,5,0,1.0,10,0,1.0,
web_boeing_supply_chain,web_search_calibrated_v19,5,0,1.0,10,0,1.0,
web_chevron_energy,web_search_calibrated_v19,5,0,1.0,10,0,1.0,
web_consumer_demand,web_search_calibrated_v19,5,0,1.0,10,0,1.0,
web_earnings_risk,web_search_calibrated_v19,5,0,1.0,10,0,1.0,
web_high_yield_spread,web_search_calibrated_v19,5,0,1.0,10,0,1.0,
web_home_depot_8k,web_search_calibrated_v19,5,0,1.0,10,0,1.0,
web_inflation,web_search_calibrated_v19,5,0,1.0,6,0,1.0,
web_it_real_yields,web_search_calibrated_v19,5,0,1.0,10,0,1.0,
web_jpm_credit,web_search_calibrated_v19,5,0,1.0,10,0,1.0,
web_jpm_filings,web_search_calibrated_v19,5,0,1.0,10,0,1.0,
web_microsoft_margins,web_search_calibrated_v19,5,0,1.0,10,0,1.0,
web_mmm_filings,web_search_calibrated_v19,5,0,1.0,10,0,1.0,
web_mmm_litigation,web_search_calibrated_v19,5,0,1.0,10,0,1.0,
web_portfolio_rates,web_search_calibrated_v19,5,0,1.0,10,0,1.0,
web_unemployment,web_search_calibrated_v19,5,0,1.0,10,0,1.0,
web_visa_spending,web_search_calibrated_v19,5,0,1.0,10,0,1.0,
web_vix,web_search_calibrated_v19,5,0,1.0,6,0,1.0,
web_wti_oil,web_search_calibrated_v19,5,0,1.0,6,0,1.0,
web_yield_curve,web_search_calibrated_v19,5,0,1.0,10,0,1.0,
