"ticker","company","source_type","url","coverage_note","has_dates","has_full_text","needs_js","_row_num","canonical_url","checked_at","http_status","fetch_status","final_url","content_type","server","sample_bytes","title_hint","date_hint_found","archive_hint_found","captcha_module_hint","hard_blocking_hint","http_error","robots_url","robots_status","robots_allowed","robots_error","crawler_grade","review_note"
"AMZN","Amazon","press_releases_archive","https://ir.aboutamazon.com/news-release/default.aspx","Amazon IR news release archive with dated earnings and company releases","yes","yes","yes","7","https://ir.aboutamazon.com/news-release/default.aspx","2026-05-13T09:55:34Z","200","ok","https://ir.aboutamazon.com/news-release/default.aspx","text/html; charset=utf-8","cloudflare","32786","Amazon.com, Inc. - News release","yes","yes","no","no","","https://ir.aboutamazon.com/robots.txt","200","True","","browser_or_api_needed","Accessible, but likely Q4/JS/captcha-module page; use browser, vendor-specific parser, sitemap, or RSS if available."
"AMZN","Amazon","company_news_archive","https://www.aboutamazon.com/news/company-news","Amazon official company news archive with dated articles","yes","yes","no","8","https://www.aboutamazon.com/news/company-news","2026-05-13T09:55:34Z","200","ok","https://www.aboutamazon.com/news/company-news","text/html; charset=utf-8","","120000","Company news","yes","yes","no","no","","https://www.aboutamazon.com/robots.txt","200","True","","crawler_ready","Accessible to simple GET; good first-pass crawler target."
"AMZN","Amazon","earnings_results_archive","https://ir.aboutamazon.com/quarterly-results/default.aspx","Amazon quarterly results archive with earnings releases and financial materials","yes","yes","yes","9","https://ir.aboutamazon.com/quarterly-results/default.aspx","2026-05-13T09:55:34Z","200","ok","https://ir.aboutamazon.com/quarterly-results/default.aspx","text/html; charset=utf-8","cloudflare","36845","Amazon.com, Inc. - Quarterly results","yes","yes","no","no","","https://ir.aboutamazon.com/robots.txt","200","True","","browser_or_api_needed","Accessible, but likely Q4/JS/captcha-module page; use browser, vendor-specific parser, sitemap, or RSS if available."
"AXP","American Express","press_releases_archive","https://ir.americanexpress.com/News/default.aspx","American Express IR news and press releases archive","yes","yes","yes","10","https://ir.americanexpress.com/News/default.aspx","2026-05-13T09:55:34Z","200","ok","https://ir.americanexpress.com/News/default.aspx","text/html; charset=utf-8","cloudflare","71451","American Express Company - News","no","yes","yes","no","","https://ir.americanexpress.com/robots.txt","200","True","","browser_or_api_needed","Accessible, but likely Q4/JS/captcha-module page; use browser, vendor-specific parser, sitemap, or RSS if available."
"AXP","American Express","company_news_archive","https://about.americanexpress.com/newsroom/default.aspx","American Express official newsroom archive","yes","yes","yes","11","https://about.americanexpress.com/newsroom/default.aspx","2026-05-13T09:55:35Z","200","ok","https://www.americanexpress.com/en-us/newsroom/","text/html; charset=UTF-8","","4639","Amex Newsroom","yes","no","no","no","","https://about.americanexpress.com/robots.txt","200","True","","browser_or_api_needed","Accessible, but likely Q4/JS/captcha-module page; use browser, vendor-specific parser, sitemap, or RSS if available."
"AXP","American Express","earnings_results_archive","https://ir.americanexpress.com/financials/","American Express financials section with earnings and SEC filings","yes","yes","yes","12","https://ir.americanexpress.com/financials/","2026-05-13T09:55:35Z","200","ok","https://ir.americanexpress.com/financials/","text/html; charset=utf-8","cloudflare","71476","American Express Company - Financials","no","yes","yes","no","","https://ir.americanexpress.com/robots.txt","200","True","","browser_or_api_needed","Accessible, but likely Q4/JS/captcha-module page; use browser, vendor-specific parser, sitemap, or RSS if available."
"CRM","Salesforce","press_releases_archive","https://investor.salesforce.com/news/default.aspx","Salesforce investor news archive with earnings and corporate releases","yes","yes","yes","19","https://investor.salesforce.com/news/default.aspx","2026-05-13T09:55:36Z","200","ok","https://investor.salesforce.com/news/default.aspx","text/html; charset=utf-8","cloudflare","90297","Salesforce.com, Inc. - Investor News","yes","yes","no","no","","https://investor.salesforce.com/robots.txt","200","True","","browser_or_api_needed","Accessible, but likely Q4/JS/captcha-module page; use browser, vendor-specific parser, sitemap, or RSS if available."
"CRM","Salesforce","earnings_results_archive","https://investor.salesforce.com/financials/quarterly-results/default.aspx","Salesforce quarterly results archive","yes","yes","yes","21","https://investor.salesforce.com/financials/quarterly-results/default.aspx","2026-05-13T09:55:37Z","200","ok","https://investor.salesforce.com/financials/quarterly-results/default.aspx","text/html; charset=utf-8","cloudflare","120000","Salesforce.com, Inc. - Financials - Quarterly Results","yes","yes","no","no","","https://investor.salesforce.com/robots.txt","200","True","","browser_or_api_needed","Accessible, but likely Q4/JS/captcha-module page; use browser, vendor-specific parser, sitemap, or RSS if available."
"CSCO","Cisco","press_releases_archive","https://investor.cisco.com/news/default.aspx","Cisco investor news and press release archive","yes","yes","yes","22","https://investor.cisco.com/news/default.aspx","2026-05-13T09:55:37Z","200","ok","https://investor.cisco.com/news/default.aspx","text/html; charset=utf-8","cloudflare","116813","Cisco Systems Inc. - News","yes","yes","yes","no","","https://investor.cisco.com/robots.txt","200","True","","browser_or_api_needed","Accessible, but likely Q4/JS/captcha-module page; use browser, vendor-specific parser, sitemap, or RSS if available."
"CSCO","Cisco","company_news_archive","https://newsroom.cisco.com/c/r/newsroom/en/us/press-releases.html","Cisco newsroom press releases archive","yes","yes","yes","23","https://newsroom.cisco.com/c/r/newsroom/en/us/press-releases.html","2026-05-13T09:55:38Z","200","ok","https://newsroom.cisco.com/c/r/newsroom/en/us/press-releases.html","text/html;charset=utf-8","","120000","Press Releases","yes","yes","no","no","","https://newsroom.cisco.com/robots.txt","404","","Not Found","browser_or_api_needed","Accessible, but likely Q4/JS/captcha-module page; use browser, vendor-specific parser, sitemap, or RSS if available."
"CSCO","Cisco","earnings_results_archive","https://investor.cisco.com/financials/quarterly-results/default.aspx","Cisco quarterly results archive with dated earnings materials","yes","yes","yes","24","https://investor.cisco.com/financials/quarterly-results/default.aspx","2026-05-13T09:55:38Z","200","ok","https://investor.cisco.com/financials/quarterly-results/default.aspx","text/html; charset=utf-8","cloudflare","120000","Cisco Systems Inc. - Financials - Quarterly Results","yes","yes","yes","no","","https://investor.cisco.com/robots.txt","200","True","","browser_or_api_needed","Accessible, but likely Q4/JS/captcha-module page; use browser, vendor-specific parser, sitemap, or RSS if available."
